-,ЮЗ,ЮЦ,ЮИ
1. Коридори, 4;8;10,10,8
2. Граници, , , 
2.1 Западна, Сърбия и Македония, Етрополе -> Костенец; Якоруда и района Сатовча, Източната граница на ЮЦ 
2.2 Северна, Западна Стара планина, средна Стара планина, средна и източна Стара планина
2.3 Изток, Етрополе -> Костенец; Якоруда и района Сатовча, --- , Черно море
2.4 Южна, Гърци, Турция и Гърция, Турция
3. ГКПП, Калотина(Сърбия); Гюешево(Македония); Кулата(Гърция), Златоград(Гърция); Ивайловград(Гърция), Малко търново(Турция); Лесово(Турция);
4. Релеф, 75% планини и 25% котловини, низинен и хълмист, 33.3% хълмове и низинен и нископланински
5. Ресурси, Къфяви въглища(Бобово дол; Перник); Желязна руда(Кремиковци); Медна руда(Етрополско); Оловно-цинкова руда(Осогово); Глина и мрамор(Елин Пелин) , 1/3 от строителната дървесина в БГ, нефтопреработване; металургия(Промет); Тец Бургас и Сливен; Енергиен компелск Марица Изток; 
6. Климат, С: Умерено-континентален; Ц: Преходен; Ю: Континентално-средиземноморски, Топла зима и лято; високи сумарни температураи; благоприятни условия за топлолюбиви култури, ---
7. Почиви, Алувално-ливадни; Смолници; Канелено горски, Алувално-ливадни; Смолници; Канелено горски, почвите са благоприятни за ориз; лозя; зърнопроизводство; овощия
8. Население, 2.1 Млн. души(105д на кв.км.), 68 д на кв.км., 57д на кв.км
9. Стопанство, Най-голям дял от БВП; 36.4% от продукцията на страната; ТЕЦ Бобов Дол и Перник; ВЕЦ Искър; Пасарево; Кокаляне; Струма; Дърводобив(София; Благоевград; Разлог), Тюттюнът заема 2%; 1/3 Заети с зеленчукопроизводство; лозарство; Зърнените култури заемат най-голям дял от обработваемата площ в региона; Първо мясо по-гъстота на ЖП мрежи[Септември - Добринище; Хасково - Подково; Кричим - Пещера], Третичен сектор 51.7%; [Русе - Стара загора - Подкова; София - Казанлък - Бъргас; Пловсив - Стара Загора - Бургас; София - Варна и Шумен и Русе]; Пристанища
